Package_Name	Class_Name	Function_Name	Func_Readability
net.sf.jasperreports.ant	JRAntCompileTask	ClassField		5.151697010603349E-4
net.sf.jasperreports.ant	JRAntCompileTask	setSrcdir		0.0
net.sf.jasperreports.ant	JRAntCompileTask	setDestdir		0.0
net.sf.jasperreports.ant	JRAntCompileTask	setTempdir		0.0
net.sf.jasperreports.ant	JRAntCompileTask	setKeepjava		0.0
net.sf.jasperreports.ant	JRAntCompileTask	setCompiler		0.3825
net.sf.jasperreports.ant	JRAntCompileTask	setXmlvalidation		0.0
net.sf.jasperreports.ant	JRAntCompileTask	execute		0.0
net.sf.jasperreports.ant	JRAntCompileTask	scanSrc		0.04583333333333334
net.sf.jasperreports.ant	JRAntCompileTask	scanDir		0.058571428571428566
net.sf.jasperreports.ant	JRAntCompileTask	compile		0.14083333333333334
net.sf.jasperreports.charts.base	JRBaseAreaPlot	JRBaseAreaPlot		0.006600694444444444
net.sf.jasperreports.charts.base	JRBaseAreaPlot	collectExpressions		0.49394783326158714
net.sf.jasperreports.charts.base	JRBaseAreaPlot	clone		0.013278032360136067
net.sf.jasperreports.charts.base	JRBaseBar3DPlot	JRBaseBar3DPlot		0.00568840579710145
net.sf.jasperreports.charts.base	JRBaseBar3DPlot	setXOffset		0.3275
net.sf.jasperreports.charts.base	JRBaseBar3DPlot	setYOffset		0.3275
net.sf.jasperreports.charts.base	JRBaseBar3DPlot	setShowLabels		0.3275
net.sf.jasperreports.charts.base	JRBaseBarPlot	JRBaseBarPlot		0.005437973484848485
net.sf.jasperreports.charts.base	JRBaseBarPlot	setShowTickMarks		0.3275
net.sf.jasperreports.charts.base	JRBaseBarPlot	setShowTickLabels		0.3275
net.sf.jasperreports.charts.base	JRBaseBubblePlot	JRBaseBubblePlot		0.0061106141920095405
net.sf.jasperreports.charts.base	JRBaseBubblePlot	setScaleType		0.3275
net.sf.jasperreports.charts.base	JRBaseCandlestickPlot	JRBaseCandlestickPlot		0.005937851123595505
net.sf.jasperreports.charts.base	JRBaseCandlestickPlot	setShowVolume		0.3275
net.sf.jasperreports.charts.base	JRBaseCategoryDataset	JRBaseCategoryDataset		0.010490528414755732
net.sf.jasperreports.charts.base	JRBaseCategoryDataset	validate		0.67
net.sf.jasperreports.charts.base	JRBaseCategorySeries	JRBaseCategorySeries		0.005563380281690141
net.sf.jasperreports.charts.base	JRBaseChartAxis	JRBaseChartAxis		0.016363636363636365
net.sf.jasperreports.charts.base	JRBaseDataRange	JRBaseDataRange		0.0030620155038759696
net.sf.jasperreports.charts.base	JRBaseHighLowDataset	JRBaseHighLowDataset		0.01575959595959596
net.sf.jasperreports.charts.base	JRBaseHighLowPlot	JRBaseHighLowPlot		0.005665322580645161
net.sf.jasperreports.charts.base	JRBaseHighLowPlot	setShowOpenTicks		0.3275
net.sf.jasperreports.charts.base	JRBaseHighLowPlot	setShowCloseTicks		0.3275
net.sf.jasperreports.charts.base	JRBaseLinePlot	JRBaseLinePlot		0.0060623344127171035
net.sf.jasperreports.charts.base	JRBaseLinePlot	setShowShapes		0.4741666666666666
net.sf.jasperreports.charts.base	JRBaseLinePlot	setShowLines		0.4741666666666666
net.sf.jasperreports.charts.base	JRBaseMeterPlot	JRBaseMeterPlot		0.003696037769946688
net.sf.jasperreports.charts.base	JRBaseMultiAxisPlot	JRBaseMultiAxisPlot		0.005623060209980477
net.sf.jasperreports.charts.base	JRBasePie3DPlot	JRBasePie3DPlot		0.007580077237619264
net.sf.jasperreports.charts.base	JRBasePie3DPlot	setDepthFactor		0.3275
net.sf.jasperreports.charts.base	JRBasePie3DPlot	setCircular		0.3275
net.sf.jasperreports.charts.base	JRBasePieDataset	JRBasePieDataset		0.016455026455026455
net.sf.jasperreports.charts.base	JRBasePiePlot	JRBasePiePlot		0.008211722488038278
net.sf.jasperreports.charts.base	JRBasePiePlot	readObject		0.3775
net.sf.jasperreports.charts.base	JRBaseScatterPlot	JRBaseScatterPlot		0.0060623344127171035
net.sf.jasperreports.charts.base	JRBaseThermometerPlot	JRBaseThermometerPlot		0.004649122807017543
net.sf.jasperreports.charts.base	JRBaseTimePeriodDataset	JRBaseTimePeriodDataset		0.01239010989010989
net.sf.jasperreports.charts.base	JRBaseTimePeriodSeries	JRBaseTimePeriodSeries		0.006076923076923077
net.sf.jasperreports.charts.base	JRBaseTimeSeries	JRBaseTimeSeries		0.005563380281690141
net.sf.jasperreports.charts.base	JRBaseTimeSeriesDataset	JRBaseTimeSeriesDataset		0.011345987920621225
net.sf.jasperreports.charts.base	JRBaseTimeSeriesDataset	setTimePeriod		0.3275
net.sf.jasperreports.charts.base	JRBaseTimeSeriesPlot	JRBaseTimeSeriesPlot		0.015111236802413271
net.sf.jasperreports.charts.base	JRBaseValueDataset	JRBaseValueDataset		0.014778813964610234
net.sf.jasperreports.charts.base	JRBaseValueDisplay	JRBaseValueDisplay		0.002743055555555556
