PackageName	ClassName	MethodName	VarType	VarDeclName
jmencode	BitrateCalcForm	initComponents	org.jdesktop.layout.GroupLayout	jPanel1Layout
jmencode	BitrateCalcForm	initComponents	org.jdesktop.layout.GroupLayout	jPanel2Layout
jmencode	BitrateCalcForm	initComponents	org.jdesktop.layout.GroupLayout	jPanel3Layout
jmencode	BitrateCalcForm	initComponents	org.jdesktop.layout.GroupLayout	layout
jmencode	BitrateCalcForm	run	javax.swing.JPanel;	jPanel1
jmencode	BitrateCalcForm	run	javax.swing.JPanel;	jPanel2
jmencode	BitrateCalcForm	run	javax.swing.JPanel;	jPanel3
jmencode	ExecProgram	classField	Process;	proc,proc2
jmencode	ExecProgram	classField	int;	exitVal
jmencode	ExecProgram	classField	PrintWriter;	writer
jmencode	ExecProgram	classField	Thread;	mplayerThread
jmencode	ExecProgram	classField	BufferedReader;	stdout,stderr,stdout2,stderr2
jmencode	ExecProgram	classField	Vector<String>;	outputLines
jmencode	ExecProgram	classField	boolean;	paused
jmencode	ExecProgram	classField	boolean;	outputAllowed
jmencode	ExecProgram	classField	String;	mplayerPath
jmencode	ExecProgram	classField	JFrame;	frame
jmencode	ExecProgram	classField	String[];	flags
jmencode	ExecProgram	classField	String[];	mediaPath
jmencode	ExecProgram	classField	String;	space
jmencode	ExecProgram	Execute	Runtime	rt
jmencode	ExecProgram	Execute	InputStream	stderr
jmencode	ExecProgram	Execute	InputStreamReader	isr
jmencode	ExecProgram	Execute	BufferedReader	br
jmencode	ExecProgram	Execute	String	line
jmencode	ExecProgram	ExecuteM	int	i
jmencode	ExecProgram	ExecuteM	int	i
jmencode	ExecProgram	ExecuteM	InputStream	is
jmencode	ExecProgram	ExecuteM	Thread	stdoutThread
jmencode	ExecProgram	run	int	l
jmencode	ExecProgram	run	String	line
jmencode	ExecProgram	run	int	p
jmencode	ExecProgram	run	Thread	stderrThread
jmencode	ExecProgram	run	int	l
jmencode	ExecProgram	run	String	line
jmencode	ExecProgram	createIcon	String	imgLocation
jmencode	ExecProgram	createIcon	java.net.URL	imageURL
jmencode	ImgPreviewPanel	classField	BufferedImage;	preview
jmencode	ImgPreviewPanel	classField	int;	x,y,x1,y1,x2,y2
jmencode	ImgPreviewPanel	classField	Point;	p1,p2
jmencode	ImgPreviewPanel	classField	double;	imageratio,panelratio
jmencode	ImgPreviewPanel	classField	int;	cropw,croph,cropx,cropy
jmencode	ImgPreviewPanel	classField	boolean;	selectionenabled
jmencode	ImgPreviewPanel	classField	int;	w
jmencode	ImgPreviewPanel	classField	int;	h
jmencode	ImgPreviewPanel	classField	Insets;	insets
jmencode	ImgPreviewPanel	loadImage	File	file
jmencode	ImgPreviewPanel	loadImage	ColorModel	cm
jmencode	ImgPreviewPanel	loadImage	int	bpp
jmencode	ImgPreviewPanel	doImageRescale	double	imageratio
jmencode	ImgPreviewPanel	setRectfromCropSettings	double	s
jmencode	ImgPreviewPanel	setRectfromCropSettings	int	f
jmencode	ImgPreviewPanel	setRectfromCropSettings	int	f
jmencode	ImgPreviewPanel	getPixelPanelScale	double	scale
jmencode	ImgPreviewPanel	getPixelCoords	Point	p
jmencode	ImgPreviewPanel	getPixelCoords	double	s
jmencode	ImgPreviewPanel	ancestorResized	org.jdesktop.layout.GroupLayout	layout
jmencode	ImgPreviewPanel	getPrevWidth	int	w
jmencode	ImgPreviewPanel	getPrevHeight	int	h
jmencode	ImgPreviewPanel	saveImage	javax.imageio.ImageWriter	writer
jmencode	ImgPreviewPanel	saveImage	ImageWriteParam	param
jmencode	ImgPreviewPanel	saveImage	ImageTypeSpecifier	imTy
jmencode	ImgPreviewPanel	saveImage	ImageTypeSpecifier	imTySp
jmencode	ImgPreviewPanel	saveImage	File	file
jmencode	ImgPreviewPanel	saveImage	ImageOutputStream	ios
jmencode	LNFSetter	classField	String;	PREFERREDLOOKANDFEELNAME
jmencode	LNFSetter	classField	String;	curLF
jmencode	LNFSetter	classField	JRadioButton;	previousButton
jmencode	LNFSetter	classField	JFrame;	theFrame
jmencode	LNFSetter	classField	MainGUI;	parent
jmencode	LNFSetter	classField	String;	theLNFName
jmencode	LNFSetter	classField	JRadioButton;	thisButton
jmencode	LNFSetter	createLNFSwitcher	Container	cp
jmencode	LNFSetter	createLNFSwitcher	ButtonGroup	bg
jmencode	LNFSetter	createLNFSwitcher	JRadioButton	bJava
jmencode	LNFSetter	createLNFSwitcher	JRadioButton	bMSW
jmencode	LNFSetter	createLNFSwitcher	String	defaultLookAndFeel
jmencode	LNFSetter	createLNFSwitcher	JRadioButton	bDefault
jmencode	LogPanel	initComponents	org.jdesktop.layout.GroupLayout	layout
jmencode	LogPanel	load	File	file
jmencode	LogPanel	load	BufferedReader	reader
jmencode	LogPanel	load	String	line
jmencode	LogPanel	run	javax.swing.JLabel;	jLabel1
jmencode	LogPanel	run	javax.swing.JScrollPane;	jScrollPane1
jmencode	LogPanel	run	javax.swing.JTextArea;	logArea
jmencode	MainGUI	classField	ExecProgram;	executor
jmencode	MainGUI	classField	MuxerForm;	muxpanel
jmencode	MainGUI	classField	String;	path,args,audioargs,videoargs,input,output,extractcomm,command1,command2,extension,FOURCC
jmencode	MainGUI	classField	String;	sp
jmencode	MainGUI	classField	SwingWorker;	worker
jmencode	MainGUI	classField	Font;	theMainFont,smallFont
jmencode	MainGUI	classField	JFrame;	lnfframe
jmencode	MainGUI	classField	LogPanel;	log
jmencode	MainGUI	classField	SettingsForm;	setupform
jmencode	MainGUI	classField	BitrateCalcForm;	bcalcform
jmencode	MainGUI	classField	RescaleOptionsForm;	prevsetupform
jmencode	MainGUI	classField	MplayerController;	mplayercontrol
jmencode	MainGUI	initComponents	Integer[]	vlist
jmencode	MainGUI	initComponents	Integer[]	alist
jmencode	MainGUI	initComponents	Calendar	cal
jmencode	MainGUI	initComponents	Date	date
jmencode	MainGUI	initComponents	SpinnerDateModel	sm
jmencode	MainGUI	initComponents	JSpinner.DateEditor	de
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	confirmDialogLayout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	cropfailedDialogLayout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel10Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel6Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel2Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel3Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel1Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel8Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	previewPanelLayout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	previewPanel1Layout
jmencode	MainGUI	mouseReleased	org.jdesktop.layout.GroupLayout	jPanel11Layout
jmencode	MainGUI	mouseReleased	org.jdesktop.layout.GroupLayout	jPanel9Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel7Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel12Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel4Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	jPanel5Layout
jmencode	MainGUI	actionPerformed	org.jdesktop.layout.GroupLayout	layout
jmencode	MainGUI	audtracknumFieldActionPerformed	int	atrack
jmencode	MainGUI	vidpreviewSliderMouseReleased	int	value
jmencode	MainGUI	inputDARfieldActionPerformed	String	item
jmencode	MainGUI	fittoSizeComboBoxActionPerformed	String	ch
jmencode	MainGUI	aspectratiofieldActionPerformed	String	item
jmencode	MainGUI	playagainButtonActionPerformed	String	playoutputcomm
jmencode	MainGUI	openprevwindowButtonActionPerformed	JFrame	prevframe
jmencode	MainGUI	openprevwindowButtonActionPerformed	ImgPreviewPanel	prevpanel
jmencode	MainGUI	makePreviewClip	String	makepreviewcomm
jmencode	MainGUI	makePreviewClip	String	previewargs
jmencode	MainGUI	makePreviewClip	String	cropresizeargs
jmencode	MainGUI	previewVideo	finalString	makeinputpreviewcomm
jmencode	MainGUI	previewVideo	finalString	makeoutputpreviewcomm
jmencode	MainGUI	previewVideo	finalString	playinputcomm
jmencode	MainGUI	previewVideo	finalString	playoutputcomm
jmencode	MainGUI	previewVideo	finalString	previewoutputcomm
jmencode	MainGUI	construct	String	comm
jmencode	MainGUI	construct	String[]	comms
jmencode	MainGUI	construct	String[]	comms
jmencode	MainGUI	extractAudio	String	format
jmencode	MainGUI	getoutputfilebuttonActionPerformed	JFileChooser	chooser
jmencode	MainGUI	MuxerMenuItemActionPerformed	JFrame	frame
jmencode	MainGUI	starttimeSpinnerStateChanged	Object	value
jmencode	MainGUI	starttimeSpinnerStateChanged	SimpleDateFormat	formatter
jmencode	MainGUI	starttimeSpinnerStateChanged	Locale	currentLocale
jmencode	MainGUI	aboutMenuItemActionPerformed	Frame	splashFrame
jmencode	MainGUI	aboutMenuItemActionPerformed	java.net.URL	imageURL
jmencode	MainGUI	playmediaMenuItemActionPerformed	String	media
jmencode	MainGUI	playmediaMenuItemActionPerformed	JFileChooser	chooser
jmencode	MainGUI	construct	String	comm
jmencode	MainGUI	finished	int	numitems
jmencode	MainGUI	finished	int	i
jmencode	MainGUI	finished	int	i
jmencode	MainGUI	finished	int	i
jmencode	MainGUI	finished	int	i
jmencode	MainGUI	finished	int	oldval
jmencode	MainGUI	getdiscpathbuttonActionPerformed	JFileChooser	chooser
jmencode	MainGUI	ScaleWidthSpinnerStateChanged	int	oldval
jmencode	MainGUI	construct	String[]	comms
jmencode	MainGUI	construct	String[]	info
jmencode	MainGUI	getinputfilebuttonActionPerformed	JFileChooser	chooser
jmencode	MainGUI	createIcon	String	imgLocation
jmencode	MainGUI	createIcon	java.net.URL	imageURL
jmencode	MainGUI	run	javax.swing.JLabel;	BitrateLabel
jmencode	MainGUI	run	javax.swing.JButton;	CancelButton
jmencode	MainGUI	run	javax.swing.JButton;	GoButton
jmencode	MainGUI	run	javax.swing.JMenuItem;	MuxerMenuItem
jmencode	MainGUI	run	javax.swing.JLabel;	QualityLabel
jmencode	MainGUI	run	javax.swing.JSpinner;	ScaleHeightSpinner
jmencode	MainGUI	run	javax.swing.JSpinner;	ScaleWidthSpinner
jmencode	MainGUI	run	javax.swing.JMenuItem;	aboutMenuItem
jmencode	MainGUI	run	javax.swing.JLabel;	actualaspectlabel
jmencode	MainGUI	run	javax.swing.JTextField;	argsfield
jmencode	MainGUI	run	javax.swing.JLabel;	aspecterrorLabel
jmencode	MainGUI	run	javax.swing.JComboBox;	aspectratiofield
jmencode	MainGUI	run	javax.swing.JSpinner;	audQualityField
jmencode	MainGUI	run	javax.swing.JComboBox;	audbitrateComboBox
jmencode	MainGUI	run	javax.swing.JComboBox;	audcodecfield
jmencode	MainGUI	run	javax.swing.JComboBox;	audtracknumField
jmencode	MainGUI	run	javax.swing.JButton;	autoScaleButton
jmencode	MainGUI	run	javax.swing.JLabel;	bitrateLabel
jmencode	MainGUI	run	javax.swing.JMenuItem;	bitratecalcMenuItem
jmencode	MainGUI	run	javax.swing.JTextField;	bitratefield
jmencode	MainGUI	run	javax.swing.ButtonGroup;	buttonGroup1
jmencode	MainGUI	run	javax.swing.ButtonGroup;	buttonGroup2
jmencode	MainGUI	run	javax.swing.ButtonGroup;	buttonGroup3
jmencode	MainGUI	run	javax.swing.ButtonGroup;	buttonGroup4
jmencode	MainGUI	run	javax.swing.JButton;	cancelButton
jmencode	MainGUI	run	javax.swing.JComboBox;	codecfield
jmencode	MainGUI	run	javax.swing.JTextArea;	commanddisplayarea
jmencode	MainGUI	run	javax.swing.JDialog;	confirmDialog
jmencode	MainGUI	run	javax.swing.JButton;	confirmokButton
jmencode	MainGUI	run	javax.swing.JRadioButton;	constantbitrateButton
jmencode	MainGUI	run	javax.swing.JComboBox;	containertypeComboBox
jmencode	MainGUI	run	javax.swing.JCheckBox;	cropCheckBox
jmencode	MainGUI	run	javax.swing.JButton;	cropdetectButton
jmencode	MainGUI	run	javax.swing.JDialog;	cropfailedDialog
jmencode	MainGUI	run	javax.swing.JButton;	cropfaileddialogOK
jmencode	MainGUI	run	javax.swing.JSpinner;	crophSpinner
jmencode	MainGUI	run	javax.swing.JSpinner;	cropwSpinner
jmencode	MainGUI	run	javax.swing.JSpinner;	cropxSpinner
jmencode	MainGUI	run	javax.swing.JSpinner;	cropySpinner
jmencode	MainGUI	run	javax.swing.JTextField;	discinputField
jmencode	MainGUI	run	javax.swing.JComboBox;	dvdtitleField
jmencode	MainGUI	run	javax.swing.JButton;	extractAudioButton
jmencode	MainGUI	run	javax.swing.JButton;	extractasWAVButton
jmencode	MainGUI	run	javax.swing.JMenu;	fileMenu
jmencode	MainGUI	run	javax.swing.JTextField;	fileinputfield
jmencode	MainGUI	run	javax.swing.JLabel;	fitbitratevalueLabel
jmencode	MainGUI	run	javax.swing.JRadioButton;	fittoCDButton
jmencode	MainGUI	run	javax.swing.JComboBox;	fittoSizeComboBox
jmencode	MainGUI	run	javax.swing.JComboBox;	fourccfield
jmencode	MainGUI	run	javax.swing.JButton;	framebackButton
jmencode	MainGUI	run	javax.swing.JButton;	frameforwardButton
jmencode	MainGUI	run	javax.swing.JTextField;	getdiscpathField
jmencode	MainGUI	run	javax.swing.JButton;	getdiscpathbutton
jmencode	MainGUI	run	javax.swing.JButton;	getinputfilebutton
jmencode	MainGUI	run	javax.swing.JButton;	getoutputfilebutton
jmencode	MainGUI	run	javax.swing.JComboBox;	inputDARfield
jmencode	MainGUI	run	javax.swing.JButton;	jButton1
jmencode	MainGUI	run	javax.swing.JButton;	jButton2
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel1
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel10
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel11
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel12
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel13
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel14
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel15
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel16
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel17
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel18
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel19
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel2
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel20
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel21
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel22
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel23
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel24
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel25
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel26
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel27
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel3
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel31
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel4
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel5
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel6
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel7
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel8
jmencode	MainGUI	run	javax.swing.JLabel;	jLabel9
jmencode	MainGUI	run	javax.swing.JMenu;	jMenu1
jmencode	MainGUI	run	javax.swing.JMenuBar;	jMenuBar1
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel1
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel10
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel11
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel12
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel2
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel3
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel4
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel5
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel6
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel7
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel8
jmencode	MainGUI	run	javax.swing.JPanel;	jPanel9
jmencode	MainGUI	run	javax.swing.JScrollPane;	jScrollPane1
jmencode	MainGUI	run	javax.swing.JSeparator;	jSeparator1
jmencode	MainGUI	run	javax.swing.JSeparator;	jSeparator2
jmencode	MainGUI	run	javax.swing.JSeparator;	jSeparator3
jmencode	MainGUI	run	javax.swing.JTabbedPane;	jTabbedPane1
jmencode	MainGUI	run	jmencode.MuxerForm;	muxerpanel
jmencode	MainGUI	run	javax.swing.JComboBox;	noframesComboBox
jmencode	MainGUI	run	javax.swing.JRadioButton;	onePassButton
jmencode	MainGUI	run	javax.swing.JButton;	openprevwindowButton
jmencode	MainGUI	run	javax.swing.JTextField;	outputfield
jmencode	MainGUI	run	javax.swing.JButton;	playagainButton
jmencode	MainGUI	run	javax.swing.JMenuItem;	playmediaMenuItem
jmencode	MainGUI	run	javax.swing.JButton;	previewCurrentTrackButton
jmencode	MainGUI	run	jmencode.ImgPreviewPanel;	previewPanel
jmencode	MainGUI	run	jmencode.ImgPreviewPanel;	previewPanel1
jmencode	MainGUI	run	javax.swing.JButton;	previewVideoButton
jmencode	MainGUI	run	javax.swing.JProgressBar;	procProgressBar
jmencode	MainGUI	run	javax.swing.JLabel;	progresslabel
jmencode	MainGUI	run	javax.swing.JMenuItem;	quitMenuItem
jmencode	MainGUI	run	javax.swing.JButton;	refreshprevButton
jmencode	MainGUI	run	javax.swing.JButton;	rescaleOptionsButton
jmencode	MainGUI	run	javax.swing.JButton;	resetsizeButton
jmencode	MainGUI	run	javax.swing.JCheckBox;	resizeCheckBox
jmencode	MainGUI	run	javax.swing.JComboBox;	scalequalityfield
jmencode	MainGUI	run	javax.swing.JLabel;	seglengthLabel
jmencode	MainGUI	run	javax.swing.JTextField;	segmentlengthfield
jmencode	MainGUI	run	javax.swing.JCheckBox;	selecttimeCheckBox
jmencode	MainGUI	run	javax.swing.JRadioButton;	setDiscInputButton
