Package_Name	Class_Name	Function_Name	Func_Readability
net.datacrow.core.web.beans	AdvancedFind	getMenuItems		0.08996564493204136
net.datacrow.core.web.beans	AdvancedFind	open		0.015117430462258049
net.datacrow.core.web.beans	AdvancedFind	addEntry		0.19
net.datacrow.core.web.beans	AdvancedFind	deleteEntry		0.15072463768115943
net.datacrow.core.web.beans	AdvancedFind	editEntry		0.227
net.datacrow.core.web.beans	AdvancedFind	search		0.12565656565656566
net.datacrow.core.web.beans	ChildDetails	getItem		0.016805555555555556
net.datacrow.core.web.beans	ChildDetails	afterCreate		0.0
net.datacrow.core.web.beans	ChildDetails	afterUpdated		0.0
net.datacrow.core.web.beans	ChildDetails	create		0.019333333333333334
net.datacrow.core.web.beans	ChildDetails	save		0.068
net.datacrow.core.web.beans	DcBean	addLogoffMenuItem		0.38333333333333336
net.datacrow.core.web.beans	DcBean	getMenuItem		0.44631818181818184
net.datacrow.core.web.beans	DcBean	actionListener		1.07
net.datacrow.core.web.beans	ItemBean	isValid		0.0048461538461538455
net.datacrow.core.web.beans	ItemImage	ClassField		0.005834950944863909
net.datacrow.core.web.beans	ItemImage	isAllowUpload		0.0
net.datacrow.core.web.beans	ItemImage	setUpFile		0.0
net.datacrow.core.web.beans	ItemImage	upload		0.0
net.datacrow.core.web.beans	ItemImage	isUploaded		0.0
net.datacrow.core.web.beans	ItemImages	load		0.04706712515223153
net.datacrow.core.web.beans	ItemImages	loadImages		0.008416666666666668
net.datacrow.core.web.beans	ItemRelate	getParentObject		0.0
net.datacrow.core.web.beans	ItemRelate	setListItems		0.0
net.datacrow.core.web.beans	ItemRelate	setCurrentReferences		0.059444444444444446
net.datacrow.core.web.beans	ItemSearch	setFilterFields		0.0
net.datacrow.core.web.beans	ItemSearch	setFields		0.010625
net.datacrow.core.web.beans	ItemSearch	getFilter		0.014761904761904763
net.datacrow.core.web.beans	ItemSearch	applyFilter		0.039597576530612244
net.datacrow.core.web.beans	Security	login		0.0
net.datacrow.core.web.beans	Security	getUser		0.24
net.datacrow.core.web.beans	Security	isLoggedIn		0.24
net.datacrow.core.web.beans	Security	logoff		0.0
net.datacrow.core.web.model	AdvancedFilter	selectField		0.0
net.datacrow.core.web.model	AdvancedFilter	selectModule		0.0
net.datacrow.core.web.model	AdvancedFilter	initialize		0.01613095238095238
net.datacrow.core.web.model	AdvancedFilter	setFieldIdx		0.0
net.datacrow.core.web.model	AdvancedFilter	getReferences		0.215
net.datacrow.core.web.model	AdvancedFilter	setAndOr		0.0
net.datacrow.core.web.model	AdvancedFilter	setModule		0.3525
net.datacrow.core.web.model	AdvancedFilter	setOperator		0.0
net.datacrow.core.web.model	AdvancedFilter	setValue		0.3181140350877193
net.datacrow.core.web.model	AdvancedFilter	getValue		0.022058358175044417
net.datacrow.core.web.model	DcReference	DcReference		0.03791666666666667
net.datacrow.core.web.model	DcReferences	setModuleIdx		0.0
net.datacrow.core.web.model	DcReferences	setKeys		0.0
net.datacrow.core.web.model	DcWebField	DcWebField		0.014571428571428572
net.datacrow.core.web.model	DcWebField	setType		0.805
net.datacrow.core.web.model	DcWebField	setMaxTextLength		0.0
net.datacrow.core.web.model	DcWebField	setWidth		0.725
net.datacrow.core.web.model	DcWebField	setLinkToDetails		0.0
net.datacrow.core.web.model	DcWebImage	setPicture		0.505
net.datacrow.core.web.model	DcWebImages	add		0.31059131344845625
net.datacrow.core.web.model	DcWebImages	setCurrent		0.0
net.datacrow.core.web.model	DcWebModule	DcWebModule		0.029047619047619044
net.datacrow.core.web.model	DcWebModule	setIndex		0.74
net.datacrow.core.web.model	DcWebModule	setLabel		0.48
net.datacrow.core.web.model	DcWebObject	setChild		0.0
net.datacrow.core.web.model	DcWebObject	setNew		0.0
net.datacrow.core.web.model	DcWebObject	setRowIdx		0.0
net.datacrow.core.web.model	DcWebObject	loadChildren		0.0035666079812206575
net.datacrow.core.web.model	DcWebObject	getChildrenColumnValue		0.0
net.datacrow.core.web.model	DcWebObject	setChildrenColumnValue		0.44
net.datacrow.core.web.model	DcWebObject	setName		0.645
net.datacrow.core.web.model	DcWebObject	addField		1.02
net.datacrow.core.web.model	DcWebObject	addTechnicalField		1.02
net.datacrow.core.web.model	DcWebObject	addPictureField		1.02
net.datacrow.core.web.model	DcWebObject	setID		1.77
net.datacrow.core.web.model	DcWebObjects	setObjects		0.0
net.datacrow.core.web.model	DcWebObjects	getColumnValue		0.0
net.datacrow.core.web.model	DcWebObjects	setColumnValue		0.44
net.datacrow.core.web.model	DcWebObjects	update		0.1880357142857143
net.datacrow.core.web.model	DcWebObjects	remove		0.6666666666666666
net.datacrow.core.web.model	DcWebObjects	sort		0.010372635652199024
net.datacrow.core.web.model	DcWebObjects	compare		0.0034499999999999995
net.datacrow.core.web.model	DcWebObjects	getColumnIndex		0.25
net.datacrow.core.web.model	DcWebUser	setSecuredUser		0.0
net.datacrow.core.web.model	DcWebUser	setPassword		0.695
net.datacrow.core.web.model	DcWebUser	getUsername		0.0
net.datacrow.core.web.model	DcWebUser	setUsername		0.7
net.datacrow.core.web.model	Sortable	Sortable		0.0
net.datacrow.core.web.model	Sortable	isDefaultAscending		0.0
net.datacrow.core.web.model	Sortable	setSort		0.66
net.datacrow.core.web.model	Sortable	setAscending		0.66
net.datacrow.console	ComponentFactory	clean		0.0073262032085561505
net.datacrow.console	ComponentFactory	run		0.0
net.datacrow.console	ComponentFactory	setLookAndFeel		0.0
net.datacrow.console	ComponentFactory	removeListeners		0.0
net.datacrow.console	ComponentFactory	getComponent		0.12266666666666666
net.datacrow.console	ComponentFactory	getHelpTextField		0.0
net.datacrow.console	ComponentFactory	getColorSelector		0.0
net.datacrow.console	ComponentFactory	setUneditable		0.4566666666666667
net.datacrow.console	ComponentFactory	getReferencesField		0.0
