Package_Name	Class_Name	Function_Name	Func_Readability
org.jfree.experimental.chart.demo	CombinedCategoryPlotDemo1	CombinedCategoryPlotDemo1		0.009014084507042254
org.jfree.experimental.chart.demo	CombinedCategoryPlotDemo1	createDataset1		3.2857142857142856E-4
org.jfree.experimental.chart.demo	CombinedCategoryPlotDemo1	createDataset2		0.002017332995951417
org.jfree.experimental.chart.demo	CombinedCategoryPlotDemo1	createChart		0.05287878787878788
org.jfree.experimental.chart.demo	CombinedCategoryPlotDemo1	createDemoPanel		1.19
org.jfree.experimental.chart.demo	CombinedCategoryPlotDemo1	main		0.32933333333333337
org.jfree.experimental.chart.demo	CombinedXYPlotDemo1	CombinedXYPlotDemo1		0.015483449477351916
org.jfree.experimental.chart.demo	CombinedXYPlotDemo1	createCombinedChart		0.0
org.jfree.experimental.chart.demo	CombinedXYPlotDemo1	getItemPaint		0.41224025974025974
org.jfree.experimental.chart.plot	CombinedCategoryPlot	CombinedCategoryPlot		0.0
org.jfree.experimental.chart.plot	CombinedCategoryPlot	add		0.3431593406593406
org.jfree.experimental.chart.plot	CombinedCategoryPlot	getDataRange		0.05708333333333334
org.jfree.experimental.chart.plot	CombinedCategoryPlot	setRangeAxis		0.014731182795698926
org.jfree.experimental.chart.plot	CombinedXYPlot	CombinedXYPlot		0.0
org.jfree.experimental.chart.renderer.xy	XYSmoothLineAndShapeRenderer	drawPrimaryLine		0.021624245578124708
org.jfree.experimental.chart.renderer.xy	XYSmoothLineAndShapeRenderer	drawSecondaryPass		0.0028420626992055565
org.jfree.experimental.chart.renderer.xy	XYSmoothLineAndShapeRenderer	getControlPoints		5.52584670231729E-4
org.jfree.experimental.chart.renderer.xy	XYSmoothLineAndShapeRenderer	getBezierCurve		0.018958108108108107
org.jfree.chart.annotations	AbstractAnnotation	ClassField		2.662761629667228E-4
org.jfree.chart.annotations	AbstractAnnotation	addChangeListener		1.21
org.jfree.chart.annotations	AbstractAnnotation	removeChangeListener		1.21
org.jfree.chart.annotations	AbstractAnnotation	hasListener		0.8525
org.jfree.chart.annotations	AbstractAnnotation	notifyListeners		0.059444444444444446
org.jfree.chart.annotations	AbstractAnnotation	setNotify		0.62
org.jfree.chart.annotations	AbstractAnnotation	clone		0.2866666666666667
org.jfree.chart.annotations	AbstractAnnotation	writeObject		0.4887777777777778
org.jfree.chart.annotations	AbstractAnnotation	readObject		0.26107407407407407
org.jfree.chart.annotations	AbstractXYAnnotation	setToolTipText		0.26
org.jfree.chart.annotations	AbstractXYAnnotation	setURL		0.0
org.jfree.chart.annotations	AbstractXYAnnotation	draw		0.028440622427463626
org.jfree.chart.annotations	AbstractXYAnnotation	addEntity		0.1576984126984127
org.jfree.chart.annotations	AbstractXYAnnotation	equals		0.022561234655880405
org.jfree.chart.annotations	AbstractXYAnnotation	hashCode		0.12484324190853771
org.jfree.chart.annotations	Empty_class	Non_in_method		0.006952440655874993
org.jfree.chart.annotations	CategoryLineAnnotation	CategoryLineAnnotation		0.0019396551724137929
org.jfree.chart.annotations	CategoryLineAnnotation	setCategory1		0.5066666666666667
