Package_Name	Class_Name	Function_Name	Func_Readability
junit.samples	AllTests	main		0.0
junit.samples	AllTests	suite		0.1354308312140646
junit.samples	ListTest	ClassField		0.00789781661192828
junit.samples	ListTest	testCapacity		0.11916666666666666
junit.samples	ListTest	testElementAt		0.0
junit.samples.money	Empty_class	Non_in_method		0.008333333333333333
junit.samples.money	Money	Money		0.07266666666666667
junit.samples.money	Money	add		0.0
junit.samples.money	Money	addMoney		0.0
junit.samples.money	Money	addMoneyBag		0.0
junit.samples.money	Money	equals		0.0
junit.samples.money	Money	multiply		0.6296031746031746
junit.samples.money	Money	subtract		0.0
junit.samples.money	Money	toString		0.28717948717948716
junit.samples.money	Money	appendTo		0.0
junit.samples.money	MoneyBag	create		0.07666666666666666
junit.samples.money	MoneyBag	appendBag		0.0
junit.samples.money	MoneyBag	appendMoney		0.1613888888888889
junit.samples.money	MoneyBag	findMoney		0.2225
junit.samples.money	MoneyBag	contains		0.235
junit.samples.money	MoneyBag	hashCode		0.264
junit.samples.money	MoneyBag	negate		0.27599999999999997
junit.samples.money	MoneyTest	testBagMultiply		0.0
junit.samples.money	MoneyTest	testBagNegate		0.0
junit.samples.money	MoneyTest	testBagSimpleAdd		0.0
junit.samples.money	MoneyTest	testBagSubtract		0.0
junit.samples.money	MoneyTest	testBagSumAdd		0.0
junit.samples.money	MoneyTest	testMixedSimpleAdd		0.0
junit.samples.money	MoneyTest	testBagNotEquals		0.55
junit.samples.money	MoneyTest	testMoneyBagEquals		1.34
junit.samples.money	MoneyTest	testMoneyBagHash		1.34
junit.samples.money	MoneyTest	testMoneyEquals		0.0
junit.samples.money	MoneyTest	testMoneyHash		1.34
junit.samples.money	MoneyTest	testSimplify		0.84
junit.samples.money	MoneyTest	testNormalize2		0.0
junit.samples.money	MoneyTest	testNormalize3		0.0
junit.samples.money	MoneyTest	testNormalize4		0.0
junit.samples.money	MoneyTest	testSimpleAdd		0.0
junit.samples.money	MoneyTest	testSimpleBagAdd		0.0
junit.samples.money	MoneyTest	testSimpleMultiply		0.0
junit.samples.money	MoneyTest	testSimpleNegate		0.0
