Package_Name	Class_Name	Function_Name	Func_Readability
soapui.demo	DemoAction	perform		0.057639267273755505
soapui.demo	DemoListener	ClassField		0.005931947922456772
soapui.demo	DemoListener	beforeRun		0.0
soapui.demo	DemoListener	afterRun		0.0
com.eviware.soapui.actions	AnnotatedSettingsPrefs	AnnotatedSettingsPrefs		0.015609756097560976
com.eviware.soapui.actions	AnnotatedSettingsPrefs	getSettings		0.17125
com.eviware.soapui.actions	AnnotatedSettingsPrefs	buildForm		0.0037500000000000003
com.eviware.soapui.actions	AnnotatedSettingsPrefs	getValues		0.013512043512043513
com.eviware.soapui.actions	AnnotatedSettingsPrefs	setFormValues		0.0
com.eviware.soapui.actions	AnnotatedSettingsPrefs	getFormValues		0.0
com.eviware.soapui.actions	AnnotatedSettingsPrefs	storeValues		0.016309523809523812
com.eviware.soapui.actions	EditorPrefs	EditorPrefs		0.024150943396226414
com.eviware.soapui.actions	EditorPrefs	getForm		0.0300086523902228
com.eviware.soapui.actions	EditorPrefs	actionPerformed		NaN
com.eviware.soapui.actions	HttpPrefs	HttpPrefs		0.02909090909090909
com.eviware.soapui.actions	Empty_class	Non_in_method		0.0
com.eviware.soapui.actions	SoapUIPreferencesAction	addPrefs		0.0
com.eviware.soapui.actions	SoapUIPreferencesAction	show		0.0
com.eviware.soapui.actions	SwitchDesktopPanelAction	SwitchDesktopPanelAction		0.0
com.eviware.soapui.actions	SwitchDesktopPanelAction	windowOpened		0.0
com.eviware.soapui.actions	SwitchDesktopPanelAction	windowDeactivated		0.0
com.eviware.soapui.actions	SwitchDesktopPanelAction	windowLostFocus		0.0
com.eviware.soapui.actions	SwitchDesktopPanelAction	mouseClicked		0.0
com.eviware.soapui.actions	SwitchDesktopPanelAction	keyPressed		0.0
com.eviware.soapui.actions	ToolsPrefs	ToolsPrefs		0.01855072463768116
com.eviware.soapui.actions	ToolsPrefs	getEclipseTools		0.03882478632478632
com.eviware.soapui.actions	UIPrefs	UIPrefs		0.024150943396226414
com.eviware.soapui.actions	XQueryXPathTesterAction	buildDialog		0.06142857142857143
com.eviware.soapui.actions	XQueryXPathTesterAction	createToolbar		0.016666666666666666
com.eviware.soapui.actions	XQueryXPathTesterAction	createStatusBar		0.258
com.eviware.soapui.actions	XQueryXPathTesterAction	createQueryPanel		0.1075
com.eviware.soapui.actions	XQueryXPathTesterAction	buildQueryTabs		0.046071428571428576
com.eviware.soapui.actions	XQueryXPathTesterAction	createResultPanel		0.16125
com.eviware.soapui	DefaultSoapUICore	DefaultSoapUICore		0.010978021978021979
com.eviware.soapui	DefaultSoapUICore	init		0.0
com.eviware.soapui	DefaultSoapUICore	initExtensions		0.0
com.eviware.soapui	DefaultSoapUICore	initSettings		0.12222222222222223
com.eviware.soapui	DefaultSoapUICore	importSettings		0.7113636363636364
com.eviware.soapui	DefaultSoapUICore	initDefaultSettings		0.0
com.eviware.soapui	DefaultSoapUICore	saveSettings		0.13333333333333333
com.eviware.soapui	DefaultSoapUICore	setSettingsFile		0.0
com.eviware.soapui	DefaultSoapUICore	initLog		0.0
com.eviware.soapui	DefaultSoapUICore	loadExternalLibraries		0.0
com.eviware.soapui	DefaultSoapUICore	addExternalListeners		0.06333333333333334
com.eviware.soapui.impl.actions	NewWsdlProjectAction	valueChanged		NaN
com.eviware.soapui.impl.actions	WorkspaceImplSoapUIActionGroup	WorkspaceImplSoapUIActionGroup		0.046363636363636364
com.eviware.soapui.impl.actions	WorkspaceImplSoapUIActionGroup	getActionMappings		0.01625
com.eviware.soapui.impl	EmptyPanelBuilder	buildOverviewPanel		0.17272222222222222
com.eviware.soapui.impl	EmptyPanelBuilder	buildDefaultProperties		0.2647058823529412
com.eviware.soapui.impl	EmptyPanelBuilder	buildDesktopPanel		0.0
com.eviware.soapui.impl.settings	SettingsImpl	SettingsImpl		0.01641025641025641
com.eviware.soapui.impl.settings	SettingsImpl	isSet		0.885
com.eviware.soapui.impl.settings	SettingsImpl	getString		0.12642857142857142
com.eviware.soapui.impl.settings	SettingsImpl	setString		0.1012278911564626
com.eviware.soapui.impl.settings	SettingsImpl	getBoolean		0.18683333333333332
com.eviware.soapui.impl.settings	SettingsImpl	setBoolean		0.3121
com.eviware.soapui.impl.settings	SettingsImpl	getLong		0.07638392857142857
com.eviware.soapui.impl.settings	SettingsImpl	addSettingsListener		0.605
com.eviware.soapui.impl.settings	SettingsImpl	removeSettingsListener		0.605
com.eviware.soapui.impl.settings	SettingsImpl	clearSetting		0.3441666666666667
com.eviware.soapui.impl.settings	SettingsImpl	setLong		0.6625
com.eviware.soapui.impl.settings	WeakSettingsListener	WeakSettingsListener		0.04172413793103448
com.eviware.soapui.impl.settings	WeakSettingsListener	settingChanged		0.1075
com.eviware.soapui.impl.settings	XmlBeansSettingsImpl	XmlBeansSettingsImpl		0.00877906976744186
com.eviware.soapui.impl.settings	XmlBeansSettingsImpl	notifySettingChanged		0.5675
com.eviware.soapui.impl.settings	InternalSettingsListener	setConfig		0.0
com.eviware.soapui.impl	WorkspaceFactoryImpl	openWorkspace		0.0
com.eviware.soapui.impl	WorkspaceImpl	WorkspaceImpl		0.01528225806451613
com.eviware.soapui.impl	WorkspaceImpl	switchWorkspace		0.01323663853727145
com.eviware.soapui.impl	WorkspaceImpl	loadWorkspace		0.078008658008658
com.eviware.soapui.impl	WorkspaceImpl	setPath		0.28
com.eviware.soapui.impl	WorkspaceImpl	setName		0.24565476190476193
com.eviware.soapui.impl	WorkspaceImpl	setDescription		0.24565476190476193
com.eviware.soapui.impl	WorkspaceImpl	getProjectAt		0.74
com.eviware.soapui.impl	WorkspaceImpl	getProjectByName		0.0
com.eviware.soapui.impl	WorkspaceImpl	save		0.012667564801335766
