Package_Name	Class_Name	Function_Name	Func_Readability
org.primordion.cellontro.app	AppCell	initialize		0.0
org.primordion.cellontro.app	AppCell	about		0.018571428571428572
org.primordion.cellontro.app	AppCell	main		0.0
org.primordion.cellontro.app	AppLife	ClassField		0.0
org.primordion.cellontro.app	AppLife	shouldBePlotted		0.0
org.primordion.cellontro.app	AppSbml	setConcreteClass		0.0
org.primordion.cellontro.app	AppSbml	step		0.0
org.primordion.cellontro.app.sbml	XhBrusselator	setNumReactants		NaN
org.primordion.cellontro.app.sbml	XhBrusselator	setNumProducts		NaN
org.primordion.cellontro.app.sbml	XhBrusselator	setNumModifiers		NaN
org.primordion.cellontro.app.sbml	XhBrusselator	setTimeStepMultiplier		NaN
org.primordion.cellontro.app.sbml	XhCircadianClock	function_1		0.03
org.primordion.cellontro.app.sbml	XhCircadianClock	Transcription		0.335
org.primordion.cellontro.app.sbml	XhCircadianClock	function_0		0.05153846153846154
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_15		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_14		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_13		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_12		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	ATPase		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_11		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_10		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_9		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_8		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_7		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_6		0.0
org.primordion.cellontro.app.sbml	XhYeastGlyPritchardKel	function_5		0.0
