Package_Name	Class_Name	Function_Name	Func_Readability
com.google.example.games.basegameutils	BaseGameActivity	ClassField		0.0043381901884810645
com.google.example.games.basegameutils	BaseGameActivity	BaseGameActivity		0.0
com.google.example.games.basegameutils	BaseGameActivity	setRequestedClients		0.0
com.google.example.games.basegameutils	BaseGameActivity	onCreate		0.0
com.google.example.games.basegameutils	BaseGameActivity	onActivityResult		0.23749898621248985
com.google.example.games.basegameutils	BaseGameActivity	showAlert		0.5742361111111112
com.google.example.games.basegameutils	BaseGameActivity	enableDebugLog		0.08666666666666667
com.google.example.games.basegameutils	BaseGameActivity	reconnectClients		0.0
com.google.example.games.basegameutils	GameHelper	GameHelper		0.008917197452229299
com.google.example.games.basegameutils	GameHelper	checkState		0.08026666666666667
com.google.example.games.basegameutils	GameHelper	assertConfigured		0.472
com.google.example.games.basegameutils	GameHelper	setup		0.06620246913580247
com.google.example.games.basegameutils	GameHelper	setState		0.0
com.google.example.games.basegameutils	GameHelper	onStart		0.635
com.google.example.games.basegameutils	GameHelper	onStop		0.0
com.google.example.games.basegameutils	GameHelper	getScopes		0.0
com.google.example.games.basegameutils	GameHelper	activityResponseCodeToString		0.0
com.google.example.games.basegameutils	GameHelper	notifyListener		0.274
com.google.example.games.basegameutils	GameHelper	beginUserInitiatedSignIn		0.1725
com.google.example.games.basegameutils	GameHelper	addToScope		0.11916666666666666
com.google.example.games.basegameutils	GameHelper	connectNextClient		0.0
com.google.example.games.basegameutils	GameHelper	onConnected		0.0
com.google.example.games.basegameutils	GameHelper	onConnectionFailed		0.06272727272727273
com.google.example.games.basegameutils	GameHelper	giveUp		0.272
com.google.example.games.basegameutils	GameHelper	showFailureDialog		0.0
com.google.example.games.basegameutils	GameHelper	makeSimpleDialog		0.26
com.google.example.games.basegameutils	GameHelper	debugLog		0.625
com.google.example.games.basegameutils	GameHelper	logWarn		1.25
com.google.example.games.basegameutils	GameHelper	logError		1.25
com.google.example.games.basegameutils	GameHelper	errorCodeToString		0.0
com.google.example.games.basegameutils	SignInFailureReason	SignInFailureReason		0.0
com.google.example.games.basegameutils	SignInFailureReason	printMisconfiguredDebugInfo		0.0
com.google.example.games.basegameutils	SignInFailureReason	getAppIdFromResource		0.0
com.google.example.games.basegameutils	SignInFailureReason	getSHA1CertFingerprint		0.034375
com.google.example.games.basegameutils	SignInFailureReason	byteToString		0.08199999999999999
collisionphysics	Ball	Ball		0.02733333333333333
collisionphysics	Ball	intersect		0.01824900793650794
collisionphysics	Ball	update		0.06347826086956522
collisionphysics	BallWorld	BallWorld		0.0175
collisionphysics	BallWorld	run		0.0
collisionphysics	BallWorld	gameUpdate		0.0
collisionphysics	CollisionPhysics	pointIntersectsRectangleOuter		0.0013208767517067911
collisionphysics	CollisionPhysics	pointIntersectsLineVertical		0.016035161443494778
collisionphysics	CollisionPhysics	pointIntersectsLineHorizontal		0.016035161443494778
collisionphysics	CollisionPhysics	pointIntersectsCircleOuter		0.008140105508526561
collisionphysics	CollisionPhysics	pointIntersectsCircleOuterDetection		0.008478260869565216
collisionphysics	CollisionPhysics	pointIntersectsLineNormalResponse		0.00507985257985258
collisionphysics	CollisionPhysics	pointIntersectsPolygon		0.011199567578439259
collisionphysics	CollisionPhysics	pointIntersectsLine		0.003486342296201451
collisionphysics	CollisionPhysics	pointIntersectsLineDetection		7.048192771084337E-4
collisionphysics	CollisionPhysics	pointIntersectsLineResponse		0.00507985257985258
collisionphysics	CollisionPhysics	pointIntersectsLineSegmentNoEndPoints		0.01389451291079812
collisionphysics	CollisionPhysics	pointIntersectsLineSegment		0.002535568908703237
collisionphysics	CollisionPhysics	pointIntersectsMovingPoint		0.0
collisionphysics	CollisionPhysics	pointIntersectsMovingPointDetection		0.023399999999999997
collisionphysics	CollisionPhysics	pointIntersectsMovingPointResponse		1.8548387096774192E-4
collisionphysics	CollisionPhysics	pointIntersectsPoint		0.0
collisionphysics	CollisionPhysics	pointIntersectsPointResponse		0.001597222222222222
collisionphysics	CollisionPhysics	rotate		0.0
collisionphysics	CollisionPhysics	getSpeed		0.0
collisionphysics	CollisionResponse	copy		0.22833333333333336
collisionphysics	CollisionResponse	getNewX		0.0
collisionphysics	CollisionResponse	getNewY		0.0
collisionphysics	CollisionResponse	getImpactX		0.0
collisionphysics	CollisionResponse	getImpactY		0.0
net.yura.cache	Cache	Cache		0.0
net.yura.cache	Cache	getFileName		0.0
net.yura.cache	Cache	put		0.09327568756875687
net.yura.cache	Cache	get		0.038571428571428576
net.yura.cache	Cache	containsKey		0.61
net.yura.domination.engine.ai	AbstractAI	AbstractAI		0.08473684210526317
net.yura.domination.engine.ai	AbstractAI	setGame		0.13607142857142857
net.yura.domination.engine.ai	Empty_class	Non_in_method		0.07
net.yura.domination.engine.ai	AIManager	setWait		0.0
net.yura.domination.engine.ai	AIManager	AIManager		0.017888888888888888
net.yura.domination.engine.ai	AIManager	play		0.3744444444444445
net.yura.domination.engine.ai	AIManager	getOutput		0.06671085858585858
net.yura.domination.engine.ai	AIManager	getTypeFromCommand		0.155
net.yura.domination.engine.ai	AIManager	getCommandFromType		0.20125
net.yura.domination.engine.ai	AIManager	getAICommands		0.0
