Package_Name	Class_Name	Function_Name	Func_Readability
net.sourceforge.ganttproject	AbstractChartImplementation	ClassField		0.00204251333502667
net.sourceforge.ganttproject	AbstractChartImplementation	AbstractChartImplementation		0.01154471544715447
net.sourceforge.ganttproject	AbstractChartImplementation	beginScrollViewInteraction		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	setActiveInteraction		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	zoomChanged		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	paintChart		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	getRenderedImage		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	getChart		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	setStartDate		0.4033333333333333
net.sourceforge.ganttproject	AbstractChartImplementation	scrollLeft		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	scrollRight		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	scrollTimeFrame		0.046
net.sourceforge.ganttproject	AbstractChartImplementation	setDimensions		0.4766666666666666
net.sourceforge.ganttproject	AbstractChartImplementation	setBottomUnit		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	setTopUnit		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	setBottomUnitWidth		1.45
net.sourceforge.ganttproject	AbstractChartImplementation	setTaskManager		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	getAdapter		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	canPaste		0.005728643216080401
net.sourceforge.ganttproject	AbstractChartImplementation	paste		0.005643564356435643
net.sourceforge.ganttproject	AbstractChartImplementation	addSelectionListener		1.21
net.sourceforge.ganttproject	AbstractChartImplementation	removeSelectionListener		1.21
net.sourceforge.ganttproject	AbstractChartImplementation	fireSelectionChanged		0.0
net.sourceforge.ganttproject	AbstractChartImplementation	addRenderer		1.5
net.sourceforge.ganttproject	AbstractChartImplementation	calculateLength		0.0
net.sourceforge.ganttproject.action	CalculateCriticalPathAction	CalculateCriticalPathAction		0.0
net.sourceforge.ganttproject.action	CalculateCriticalPathAction	actionPerformed		0.014983268589989829
net.sourceforge.ganttproject.action	CalculateCriticalPathAction	setOn		1.69
net.sourceforge.ganttproject.action	CalculateCriticalPathAction	isIconVisible		0.0
net.sourceforge.ganttproject.action	DeleteAssignmentAction	DeleteAssignmentAction		0.020476190476190478
net.sourceforge.ganttproject.action	DeleteAssignmentAction	deleteAssignments		0.14333333333333334
net.sourceforge.ganttproject.action	DeleteAssignmentAction	getDisplayName		0.03538461538461538
net.sourceforge.ganttproject.action	DeleteHumanAction	DeleteHumanAction		0.008896551724137931
net.sourceforge.ganttproject.action	DeleteHumanAction	deleteResources		0.215
net.sourceforge.ganttproject.action	GPAction	GPAction		0.019263315082130413
net.sourceforge.ganttproject.action	GPAction	setIconSize		0.07777777777777777
net.sourceforge.ganttproject.action	GPAction	createIcon		0.0203125
net.sourceforge.ganttproject.action	GPAction	getTooltipText		0.0
net.sourceforge.ganttproject.action	GPAction	getI18n		0.42
net.sourceforge.ganttproject.action	GPAction	setIconVisible		0.0
net.sourceforge.ganttproject.action	GPAction	updateName		0.0
net.sourceforge.ganttproject.action	GPAction	languageChanged		0.5390839694656488
net.sourceforge.ganttproject.action	GPAction	getKeyStroke		0.0
net.sourceforge.ganttproject.action	ImportResources	ImportResources		0.00861337513061651
net.sourceforge.ganttproject.action	ImportResources	run		0.03994708798016243
net.sourceforge.ganttproject.action	ImportResources	getResourcesFile		0.11499999999999999
net.sourceforge.ganttproject.action	NewArtefactAction	NewArtefactAction		0.05357142857142857
net.sourceforge.ganttproject.action	NewHumanAction	NewHumanAction		0.010518518518518517
net.sourceforge.ganttproject.action	NewTaskAction	NewTaskAction		0.014791666666666667
net.sourceforge.ganttproject.action	NewTaskAction	setText		1.5
net.sourceforge.ganttproject.action	NewTaskAction	isEnabled		0.9157377049180326
net.sourceforge.ganttproject.action	OptionsDialogAction	OptionsDialogAction		0.05071428571428571
net.sourceforge.ganttproject.action.project	ExitAction	ExitAction		0.0
