Package_Name	Class_Name	Function_Name	Func_Readability
bsh	BlockNameSpace	BlockNameSpace		0.011851851851851851
bsh	BlockNameSpace	setVariable		0.03707932692307692
bsh	BlockNameSpace	setBlockVariable		0.3616666666666667
bsh	BlockNameSpace	weHaveVar		0.3225
bsh	BlockNameSpace	getNonBlockParent		0.09142857142857143
bsh	BlockNameSpace	getThis		0.0
bsh	BlockNameSpace	getSuper		0.0
bsh	BlockNameSpace	importClass		1.29
bsh	BlockNameSpace	importPackage		1.29
bsh	BlockNameSpace	setMethod		0.4533333333333333
bsh	BSHAllocationExpression	BSHAllocationExpression		0.03933333333333333
bsh	BSHAllocationExpression	ClassField		0.0039460085473922695
bsh	BSHAllocationExpression	eval		NaN
bsh	BSHAllocationExpression	objectAllocation		NaN
bsh	BSHAllocationExpression	constructObject		0.01
bsh	BSHAllocationExpression	constructWithClassBody		0.07863636363636363
bsh	BSHAllocationExpression	constructWithInterfaceBody		0.045615079365079365
bsh	BSHAllocationExpression	objectArrayAllocation		0.061833333333333344
bsh	BSHAllocationExpression	primitiveArrayAllocation		0.21233333333333335
bsh	BSHAllocationExpression	arrayAllocation		0.14513636363636362
bsh	BSHAllocationExpression	arrayNewInstance		0.0161
bsh	BSHAmbiguousName	BSHAmbiguousName		0.04317073170731708
bsh	BSHAmbiguousName	getName		0.0
bsh	BSHAmbiguousName	toObject		0.05005
bsh	BSHAmbiguousName	toClass		0.011323529411764706
bsh	BSHAmbiguousName	toLHS		0.17966666666666667
bsh	BSHArguments	BSHArguments		0.045384615384615384
bsh	BSHArguments	getArguments		0.055
bsh	BSHArrayDimensions	BSHArrayDimensions		0.03218181818181818
bsh	BSHArrayInitializer	BSHArrayInitializer		0.04317073170731708
bsh	BSHArrayInitializer	throwTypeError		0.0
bsh	BSHAssignment	BSHAssignment		0.04317073170731708
bsh	BSHAssignment	operation		0.005701754385964913
bsh	BSHBinaryExpression	BSHBinaryExpression		0.03765957446808511
bsh	BSHBinaryExpression	isPrimitiveValue		0.0
