Package_Name	Class_Name	Function_Name	Func_Readability
jmencode	BitrateCalcForm	initComponents		0.0017390378206694132
jmencode	BitrateCalcForm	main		0.0
jmencode	BitrateCalcForm	ClassField		3.293435260378093E-4
jmencode	ExecProgram	Execute		0.06645833333333333
jmencode	ExecProgram	ExecuteM		0.21117222222222223
jmencode	ExecProgram	run		0.002054105816958213
jmencode	ExecProgram	createIcon		0.0
jmencode	ImgPreviewPanel	loadImage		0.2
jmencode	ImgPreviewPanel	paintComponent		0.0
jmencode	ImgPreviewPanel	doImageRescale		0.0
jmencode	ImgPreviewPanel	setRectfromCropSettings		0.0
jmencode	ImgPreviewPanel	getPixelPanelScale		0.03192307692307692
jmencode	ImgPreviewPanel	getPixelCoords		0.0
jmencode	ImgPreviewPanel	mouseDragged		0.0
jmencode	ImgPreviewPanel	mouseMoved		0.0
jmencode	ImgPreviewPanel	mousePressed		0.0
jmencode	ImgPreviewPanel	mouseReleased		0.0
jmencode	ImgPreviewPanel	ancestorMoved		0.0
jmencode	ImgPreviewPanel	ancestorResized		0.026379310344827586
jmencode	ImgPreviewPanel	formAncestorResized		0.0
jmencode	ImgPreviewPanel	formMouseDragged		0.0
jmencode	ImgPreviewPanel	formMouseMoved		0.0
jmencode	ImgPreviewPanel	formMouseReleased		0.0
jmencode	ImgPreviewPanel	formMousePressed		0.0
jmencode	ImgPreviewPanel	getPrevWidth		0.0
jmencode	ImgPreviewPanel	getPrevHeight		0.0
jmencode	ImgPreviewPanel	saveImage		NaN
jmencode	LNFSetter	LNFSetter		0.011276595744680852
jmencode	LNFSetter	actionPerformed		8.211136770168135E-8
jmencode	LNFSetter	createLNFSwitcher		0.0
jmencode	LogPanel	load		0.0319626893939394
jmencode	LogPanel	add		0.0
jmencode	MainGUI	dovideoArgs		0.005876777251184834
jmencode	MainGUI	doaudioArgs		0.007898089171974522
jmencode	MainGUI	keyReleased		0.0
jmencode	MainGUI	stateChanged		0.0
jmencode	MainGUI	focusLost		0.0
jmencode	MainGUI	outputfieldKeyReleased		0.0
jmencode	MainGUI	setDiscInputButtonMouseReleased		0.0
jmencode	MainGUI	setfileInputButtonMouseReleased		0.0
jmencode	MainGUI	fourccfieldActionPerformed		0.0
jmencode	MainGUI	volgainComboBoxActionPerformed		0.0
jmencode	MainGUI	usevolGainCheckBoxActionPerformed		0.0
jmencode	MainGUI	unsharpBoxActionPerformed		0.0
jmencode	MainGUI	previewCurrentTrackButtonActionPerformed		0.0
jmencode	MainGUI	audtracknumFieldActionPerformed		0.0
jmencode	MainGUI	cropfaileddialogOKActionPerformed		0.0
jmencode	MainGUI	fittoCDButtonActionPerformed		0.0
jmencode	MainGUI	constantbitrateButtonActionPerformed		0.0
jmencode	MainGUI	dvdtitleFieldActionPerformed		0.0
jmencode	MainGUI	setvidSlider		0.88
jmencode	MainGUI	vidpreviewSliderMouseReleased		0.14666666666666667
jmencode	MainGUI	autoScaleButtonActionPerformed		0.0
jmencode	MainGUI	cancelButtonActionPerformed		0.0
jmencode	MainGUI	confirmokButtonActionPerformed		0.0
jmencode	MainGUI	jButton2ActionPerformed		0.0
jmencode	MainGUI	inputDARfieldActionPerformed		0.04833333333333333
jmencode	MainGUI	segmentlengthfieldFocusLost		0.0
jmencode	MainGUI	segmentlengthfieldActionPerformed		0.0
jmencode	MainGUI	fittoSizeComboBoxActionPerformed		0.0
jmencode	MainGUI	resetsizeButtonActionPerformed		0.0
jmencode	MainGUI	aspectratiofieldActionPerformed		0.0174
jmencode	MainGUI	playagainButtonActionPerformed		0.0
jmencode	MainGUI	noframesComboBoxActionPerformed		0.0
jmencode	MainGUI	frameforwardButtonActionPerformed		0.0
jmencode	MainGUI	framebackButtonActionPerformed		0.0
jmencode	MainGUI	rescaleOptionsButtonActionPerformed		0.0
jmencode	MainGUI	cropCheckBoxActionPerformed		0.0
jmencode	MainGUI	cropySpinnerStateChanged		0.0
jmencode	MainGUI	cropxSpinnerStateChanged		0.0
jmencode	MainGUI	refreshprevButtonActionPerformed		0.0
jmencode	MainGUI	crophSpinnerStateChanged		0.0
jmencode	MainGUI	cropwSpinnerStateChanged		0.0
jmencode	MainGUI	openprevwindowButtonActionPerformed		0.0
jmencode	MainGUI	makePreviewClip		0.05178571428571428
jmencode	MainGUI	previewVideo		1.6817514677103717E-4
jmencode	MainGUI	construct		5.720823798627002E-4
jmencode	MainGUI	previewVideoButtonActionPerformed		0.0
jmencode	MainGUI	bitratefieldFocusLost		0.0
jmencode	MainGUI	audQualityFieldStateChanged		0.0
jmencode	MainGUI	bitratecalcMenuItemActionPerformed		0.0
jmencode	MainGUI	jButton1ActionPerformed		0.0
jmencode	MainGUI	extractAudio		5.983590765854402E-4
jmencode	MainGUI	extractAudioButtonActionPerformed		0.0
jmencode	MainGUI	extractasWAVButtonActionPerformed		0.0
jmencode	MainGUI	containertypeComboBoxActionPerformed		0.0
jmencode	MainGUI	scalequalityfieldActionPerformed		0.0
jmencode	MainGUI	getoutputfilebuttonActionPerformed		0.06333333333333334
jmencode	MainGUI	settingsMenuItemActionPerformed		0.0
jmencode	MainGUI	MuxerMenuItemActionPerformed		0.06833333333333333
jmencode	MainGUI	audbitrateComboBoxActionPerformed		0.0
jmencode	MainGUI	setLNFMenuItemActionPerformed		0.0
jmencode	MainGUI	starttimeSpinnerStateChanged		0.07333333333333333
jmencode	MainGUI	aboutMenuItemActionPerformed		0.0
jmencode	MainGUI	quitMenuItemActionPerformed		0.0
jmencode	MainGUI	selecttimeCheckBoxActionPerformed		0.0
jmencode	MainGUI	playmediaMenuItemActionPerformed		0.06555555555555555
jmencode	MainGUI	viewlogmenuItemActionPerformed		0.0
jmencode	MainGUI	getVideoInfo		1.6760475297060665E-4
jmencode	MainGUI	finished		0.0
jmencode	MainGUI	cropdetectButtonActionPerformed		0.0
jmencode	MainGUI	audcodecfieldActionPerformed		0.0
jmencode	MainGUI	setfileInputButtonActionPerformed		0.0
jmencode	MainGUI	setDiscInputButtonActionPerformed		0.0
jmencode	MainGUI	getdiscpathbuttonActionPerformed		0.050666666666666665
jmencode	MainGUI	getdiscpathFieldActionPerformed		0.0
jmencode	MainGUI	resizeCheckBoxActionPerformed		0.0
jmencode	MainGUI	ScaleHeightSpinnerStateChanged		0.0
jmencode	MainGUI	ScaleWidthSpinnerStateChanged		0.0
jmencode	MainGUI	twoPassButtonActionPerformed		0.0
jmencode	MainGUI	onePassButtonActionPerformed		0.0
jmencode	MainGUI	bitratefieldActionPerformed		0.0
jmencode	MainGUI	codecfieldActionPerformed		0.0
jmencode	MainGUI	GoButtonActionPerformed		0.0
jmencode	MainGUI	CancelButtonActionPerformed		0.0
jmencode	MainGUI	getinputfilebuttonActionPerformed		0.06333333333333334
jmencode	MainGUI	argsfieldActionPerformed		0.0
jmencode	MainGUI	fileinputfieldActionPerformed		0.0
jmencode	MainGUI	outputfieldActionPerformed		0.0
