Package_Name	Class_Name	Function_Name	Func_Readability
laucher	JarWinJavaExeLauncher	JarWinJavaExeLauncher		0.0
laucher	JarWinJavaExeLauncher	findAcceptableJavaVersion		0.0
laucher	JarWinJavaExeLauncher	accept		0.37931818181818183
laucher	JarWinJavaExeLauncher	getJreFromName		0.11179615384615385
laucher	JarWinJavaExeLauncher	main		0.0
devplugin	AbstractTvDataService	ClassField		0.0
devplugin	AbstractTvDataService	checkForAvailableChannels		0.45371603765542606
devplugin	AbstractTvDataService	setPluginManager		0.555
devplugin	AbstractTvDataService	setParent		0.64
devplugin	AbstractTvDataService	getContextMenuActions		0.00484212305035205
devplugin	AbstractTvDataService	getIconLoader		0.0
devplugin	AbstractTvDataService	setWorkingDirectory		0.0
devplugin	AbstractTvDataService	updateTvData		0.001194690265486726
devplugin	AbstractTvDataService	loadSettings		0.0
devplugin	AbstractTvDataService	getAvailableChannels		0.004653846153846153
devplugin	AbstractTvDataService	checkForAvailableChannelGroups		0.004945054945054946
devplugin	ActionMenu	ActionMenu		0.002481546240146934
devplugin	AfterDataUpdateInfoPanel	setAfterDataUpdateInfoPanelListener		1.21
devplugin	AfterDataUpdateInfoPanel	closed		0.0
devplugin.beanshell	Empty_class	Non_in_method		0.013633405585817276
devplugin	ButtonAction	setText		0.26
devplugin	ButtonAction	setSmallIcon		1.4
devplugin	ButtonAction	setBigIcon		1.4
devplugin	ButtonAction	setShortDescription		1.29
devplugin	ButtonAction	setActionListener		1.21
devplugin	ButtonAction	actionPerformed		0.3566666666666667
devplugin	Channel	getDataServiceIDFromDataService		0.0
devplugin	Channel	Channel		0.0023635708263254175
devplugin	Channel	readData		0.11257878038717854
devplugin	Channel	writeToDataFile		0.12583333333333332
devplugin	Channel	writeData		0.027216143686009754
devplugin	Channel	getChannel		0.00291358024691358
devplugin	Channel	setTimeZoneCorrectionMinutes		0.0
devplugin	Channel	setDefaultIcon		1.4
devplugin	Channel	setIcon		1.4
devplugin	Channel	getIcon		0.06363636363636363
devplugin	Channel	setUserIconFileName		1.07
devplugin	Channel	useUserIcon		1.37
devplugin	Channel	setUserChannelName		1.29
devplugin	Channel	setUserWebPage		0.0
devplugin	Channel	equals		0.18083333333333335
devplugin	Channel	setStartTimeLimit		0.0
devplugin	Channel	setEndTimeLimit		0.0
devplugin	Channel	compareTo		0.61
devplugin	Channel	setChannelName		0.645
devplugin	Channel	setChannelCopyrightNotice		0.0
devplugin	Channel	setChannelWebpage		0.295
devplugin	Channel	getLocalizedCategory		0.027142857142857142
devplugin	Channel	getCountriesString		0.03684210526315789
devplugin	Channel	setJointChannel		0.0
devplugin	Channel	getJointChannelIcon		0.12727272727272726
devplugin	Channel	paintIcon		0.0
devplugin	Channel	getChannelForChannel		0.0
devplugin	Channel	setSortNumber		1.58
devplugin	ChannelFilter	ChannelFilter		0.0258
devplugin	ChannelFilter	createChannelFilterForName		1.29
devplugin	ChannelGroupImpl	ChannelGroupImpl		0.037666112956810625
devplugin	ContextMenuAction	ContextMenuAction		0.029010513296227582
devplugin	ContextMenuSeparatorAction	putValue		0.0022340425531914895
devplugin	Date	Date		0.004756208692929941
devplugin	Date	createDateFromValue		0.37166666666666665
devplugin	Date	createYYYYMMDD		0.4509444444444444
devplugin	Date	createDDMMYYYY		0.4509444444444444
devplugin	Date	createYYMMDD		1.115
devplugin	Date	getNumberOfDaysSince		0.15125
devplugin	Date	getWeekOfYear		0.48666666666666664
devplugin	Date	getFormattedString		0.05642248478338703
devplugin	Date	getLongDateString		0.031363636363636364
devplugin	Date	getCalendar		0.48666666666666664
devplugin	Date	addDays		0.3475
devplugin	Date	getDayOfWeek		0.0
devplugin	Date	isFirstDayOfWeek		0.73
devplugin	ImportanceValue	ImportanceValue		0.012346938775510203
devplugin	Plugin	createImageIcon		0.2567336473050759
devplugin	Plugin	createImageIconForFileName		0.0
devplugin	Plugin	getInfo		0.29083333333333333
